         13487382 function calls (13481689 primitive calls) in 50.777 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      230    0.002    0.000    0.009    0.000 overrides.py:83(verify_matching_signatures)
       56    0.001    0.000    0.009    0.000 __init__.py:2923(from_location)
       24    0.003    0.000    0.009    0.000 __init__.py:355(namedtuple)
       14    0.000    0.000    0.009    0.001 <frozen ntpath>:705(realpath)
        1    0.000    0.000    0.009    0.009 _utils_impl.py:1(<module>)
       39    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1299(exec_module)
        1    0.000    0.000    0.008    0.008 _globals.py:1(<module>)
  207/204    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:647(_check_name_wrapper)
    11707    0.008    0.000    0.008    0.000 _parser.py:240(__next)
      597    0.004    0.000    0.008    0.000 typing.py:1640(__hash__)
      587    0.005    0.000    0.008    0.000 {built-in method builtins.next}
      571    0.008    0.000    0.008    0.000 world.py:391(finish_chunk)
        1    0.000    0.000    0.008    0.008 version.py:161(Version)
       39    0.008    0.000    0.008    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.008    0.008 hashlib.py:1(<module>)
     1510    0.008    0.000    0.008    0.000 {built-in method pygame.mouse.get_pos}
        1    0.000    0.000    0.008    0.008 _common.py:33(wrapper)
        1    0.000    0.000    0.008    0.008 _common.py:51(files)
        1    0.000    0.000    0.008    0.008 _common.py:108(from_package)
1517/1478    0.005    0.000    0.007    0.000 {built-in method __new__ of type object at 0x00007FFEE36D38F0}
        1    0.000    0.000    0.007    0.007 _adapters.py:28(get_resource_reader)
        1    0.000    0.000    0.007    0.007 _adapters.py:149(_native)
        1    0.000    0.000    0.007    0.007 _adapters.py:144(_reader)
     4648    0.005    0.000    0.007    0.000 _parser.py:168(__getitem__)
        1    0.000    0.000    0.007    0.007 <frozen importlib._bootstrap_external>:1196(get_resource_reader)
       32    0.007    0.000    0.007    0.000 {built-in method nt._getfinalpathname}
      245    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:806(spec_from_file_location)
        2    0.000    0.000    0.007    0.004 readers.py:1(<module>)
       13    0.001    0.000    0.007    0.001 typing.py:2814(__new__)
    58/17    0.000    0.000    0.007    0.000 typing.py:1326(_determine_new_args)
        1    0.000    0.000    0.007    0.007 message.py:1(<module>)
    58/17    0.001    0.000    0.007    0.000 typing.py:1355(_make_substitution)
        1    0.000    0.000    0.007    0.007 printoptions.py:1(<module>)
        1    0.000    0.000    0.007    0.007 _scimath_impl.py:1(<module>)
       27    0.000    0.000    0.007    0.000 __init__.py:3681(<genexpr>)
      418    0.001    0.000    0.007    0.000 <frozen ntpath>:257(splitext)
        1    0.000    0.000    0.007    0.007 tarfile.py:1(<module>)
     8590    0.006    0.000    0.007    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.007    0.007 pathlib.py:1(<module>)
       11    0.000    0.000    0.007    0.001 __init__.py:2656(_normalize_cached)
       11    0.000    0.000    0.007    0.001 __init__.py:2629(normalize_path)
       26    0.000    0.000    0.007    0.000 __init__.py:3133(activate)
        1    0.000    0.000    0.007    0.007 perlin_noise.py:1(<module>)
       56    0.000    0.000    0.007    0.000 __init__.py:2904(__init__)
     2436    0.003    0.000    0.006    0.000 typing.py:1161(_is_dunder)
      311    0.002    0.000    0.006    0.000 function_base.py:487(add_newdoc)
        1    0.000    0.000    0.006    0.006 _parseaddr.py:1(<module>)
     4602    0.004    0.000    0.006    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.006    0.006 quoprimime.py:1(<module>)
        1    0.000    0.000    0.006    0.006 charset.py:1(<module>)
        1    0.000    0.000    0.006    0.006 _add_newdocs.py:1(<module>)
     6362    0.006    0.000    0.006    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.006    0.006 sprite.py:1(<module>)
       13    0.000    0.000    0.006    0.000 typing.py:2795(_make_nmtuple)
      412    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     8441    0.006    0.000    0.006    0.000 {method 'rstrip' of 'str' objects}
      266    0.001    0.000    0.006    0.000 typing.py:1174(__init__)
        1    0.000    0.000    0.006    0.006 bz2.py:1(<module>)
      632    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap>:372(release)
      118    0.001    0.000    0.006    0.000 typing.py:345(_remove_dups_flatten)
        3    0.000    0.000    0.006    0.002 pkgdata.py:45(getResource)
      314    0.003    0.000    0.006    0.000 functools.py:35(update_wrapper)
      460    0.001    0.000    0.006    0.000 _inspect.py:96(getargspec)
        1    0.000    0.000    0.006    0.006 _function_base_impl.py:1(<module>)
      389    0.000    0.000    0.005    0.000 typing.py:730(<genexpr>)
       24    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1689(path_hook_for_FileFinder)
       56    0.000    0.000    0.005    0.000 __init__.py:1559(safe_version)
      348    0.001    0.000    0.005    0.000 {built-in method fromkeys}
       24    0.000    0.000    0.005    0.000 <frozen zipimport>:64(__init__)
        1    0.000    0.000    0.005    0.005 platform.py:1(<module>)
      168    0.000    0.000    0.005    0.000 typing.py:317(_deduplicate)
       25    0.001    0.000    0.005    0.000 enum.py:528(__new__)
        1    0.000    0.000    0.005    0.005 _manylinux.py:1(<module>)
       27    0.005    0.000    0.005    0.000 {built-in method builtins.eval}
      268    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
      418    0.002    0.000    0.005    0.000 <frozen genericpath>:133(_splitext)
     7398    0.005    0.000    0.005    0.000 typing.py:1630(<genexpr>)
  754/172    0.003    0.000    0.005    0.000 _parser.py:178(getwidth)
        1    0.000    0.000    0.004    0.004 random.py:1(<module>)
        1    0.000    0.000    0.004    0.004 freetype.py:1(<module>)
        1    0.000    0.000    0.004    0.004 ipaddress.py:1(<module>)
     7234    0.004    0.000    0.004    0.000 {method 'lower' of 'str' objects}
      268    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
      268    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:232(__init__)
        1    0.000    0.000    0.004    0.004 subprocess.py:1(<module>)
       16    0.000    0.000    0.004    0.000 __init__.py:2372(safe_listdir)
       55    0.000    0.000    0.004    0.000 <frozen abc>:105(__new__)
       26    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        1    0.000    0.000    0.004    0.004 more.py:1(<module>)
     1827    0.004    0.000    0.004    0.000 {method 'get_size' of 'pygame.surface.Surface' objects}
      270    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:420(__exit__)
     1324    0.002    0.000    0.004    0.000 ui.py:41(is_hovered_over)
     4743    0.004    0.000    0.004    0.000 {method 'replace' of 'str' objects}
     6137    0.004    0.000    0.004    0.000 {method 'elementwise' of 'pygame.math.Vector2' objects}
      110    0.000    0.000    0.004    0.000 _parser.py:98(closegroup)
       56    0.001    0.000    0.004    0.000 version.py:188(__init__)
  131/118    0.001    0.000    0.004    0.000 typing.py:1600(__hash__)
       26    0.000    0.000    0.004    0.000 __init__.py:3125(_get_metadata)
     2398    0.002    0.000    0.004    0.000 {built-in method builtins.setattr}
       29    0.001    0.000    0.004    0.000 ui.py:6(__init__)
        1    0.000    0.000    0.003    0.003 _type_check_impl.py:1(<module>)
     7982    0.003    0.000    0.003    0.000 {built-in method nt.fspath}
        1    0.000    0.000    0.003    0.003 selectors.py:1(<module>)
       15    0.000    0.000    0.003    0.000 typing.py:1589(copy_with)
      206    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:670(_classify_pyc)
       26    0.000    0.000    0.003    0.000 __init__.py:1681(has_metadata)
        1    0.000    0.000    0.003    0.003 encoders.py:1(<module>)
        1    0.000    0.000    0.003    0.003 __init__.py:469(StrFormatStyle)
       29    0.000    0.000    0.003    0.000 __init__.py:1893(_has)
      609    0.002    0.000    0.003    0.000 typing.py:1205(__getattr__)
       29    0.003    0.000    0.003    0.000 {built-in method nt._path_exists}
     1510    0.003    0.000    0.003    0.000 {built-in method pygame.mouse.get_pressed}
      548    0.001    0.000    0.003    0.000 typing.py:166(_type_convert)
       29    0.000    0.000    0.003    0.000 world.py:283(create_entity)
        1    0.000    0.000    0.003    0.003 base64mime.py:1(<module>)
        1    0.000    0.000    0.003    0.003 lzma.py:1(<module>)
        1    0.000    0.000    0.003    0.003 expat.py:1(<module>)
      460    0.003    0.000    0.003    0.000 _inspect.py:65(getargs)
       54    0.001    0.000    0.003    0.000 _compiler.py:516(_compile_info)
        3    0.000    0.000    0.003    0.001 __init__.py:1359(resource_exists)
        1    0.000    0.000    0.003    0.003 __init__.py:23(_set_platform_dir_class)
        1    0.000    0.000    0.003    0.003 rand_vec.py:1(<module>)
        1    0.000    0.000    0.003    0.003 stride_tricks.py:1(<module>)
        1    0.000    0.000    0.003    0.003 sysconfig.py:1(<module>)
       30    0.001    0.000    0.003    0.000 entity.py:70(__init__)
      632    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:74(__new__)
        6    0.000    0.000    0.003    0.000 __init__.py:411(get_provider)
        1    0.000    0.000    0.003    0.003 message.py:135(Message)
       26    0.000    0.000    0.003    0.000 __init__.py:3224(insert_on)
       43    0.000    0.000    0.003    0.000 typing.py:1417(copy_with)
       28    0.001    0.000    0.003    0.000 typing.py:1074(_generic_class_getitem)
        1    0.000    0.000    0.003    0.003 getlimits.py:167(_register_known_types)
        1    0.000    0.000    0.003    0.003 fnmatch.py:1(<module>)
        6    0.000    0.000    0.003    0.000 __init__.py:1873(__init__)
        1    0.000    0.000    0.003    0.003 array_utils.py:1(<module>)
        1    0.000    0.000    0.003    0.003 string.py:1(<module>)
        3    0.000    0.000    0.003    0.001 __init__.py:1379(resource_stream)
      618    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        1    0.000    0.000    0.002    0.002 calendar.py:1(<module>)
